tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
570301031407624000,negative,1,Bad Flight,0.7033,Virgin America,,jnardino,,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",,42059.4691666667,,Pacific Time (US & Canada)
570300817074462000,negative,1,Can't Tell,1,Virgin America,,jnardino,,0,@VirginAmerica and it's a really big bad thing about it,,42059.4685763889,,Pacific Time (US & Canada)
570300767074181000,negative,1,Can't Tell,0.6842,Virgin America,,jnardino,,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",,42059.4684375,,Pacific Time (US & Canada)
570282469121007000,negative,0.6842,Late Flight,0.3684,Virgin America,,smartwatermelon,,0,=@VirginAmerica SFO-PDX schedule is still MIA.,,42059.4179398148,"palo alto, ca",Pacific Time (US & Canada)
570276917301137000,negative,1,Bad Flight,1,Virgin America,,heatherovieda,,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,,42059.4026157407,this place called NYC,Eastern Time (US & Canada)
570265883513384000,negative,0.6705,Can't Tell,0.3614,Virgin America,,MISSGJ,,0,=@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,,42059.3721759259,,
570256553502068000,negative,1,Customer Service Issue,0.3557,Virgin America,,ayeevickiee,,0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,,42059.3464236111,714,Mountain Time (US & Canada)
570249102404923000,negative,1,Customer Service Issue,1,Virgin America,,Leora13,,0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,,42059.3258680556,,
570239632807370000,negative,1,Can't Tell,0.6614,Virgin America,,meredithjlynn,,0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,,42059.2997337963,,
570207886493782000,negative,1,Bad Flight,1,Virgin America,,blackjackpro911,,0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,"[42.361016, -71.02000488]",42059.2121296296,"San Mateo, CA & Las Vegas, NV",
570114021854212000,negative,1,Flight Booking Problems,1,Virgin America,,jordanpichler,,0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",,42058.9531134259,,Vienna
570088404156698000,negative,1,Customer Service Issue,1,Virgin America,,Cuschoolie1,,0,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!","[33.94209449, -118.40410103]",42058.8824189815,Washington DC,Quito
570084582780899000,negative,1,Customer Service Issue,1,Virgin America,,amanduhmccarty,,0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",,42058.871875,,Pacific Time (US & Canada)
570035876845084000,negative,1,Customer Service Issue,1,Virgin America,,DannyDouglass,,0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,,42058.7374768518,"San Francisco, CA",Pacific Time (US & Canada)
570025482344898000,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,,will_lenzenjr,,0,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",,42058.7087962963,Iowa City,Central Time (US & Canada)
