,tweet_id,airline_sentiment,airline,name,text,tweet_coord,tweet_created,tweet_location,negativereason
0,570306133677760000,neutral,Virgin America,cairdin,=@VirginAmerica What @dhepburn said.,,42059.4832407407,,Cant Decide
1,570301130888122000,positive,Virgin America,jnardino,@VirginAmerica plus you've added commercials to the experience... tacky.,,42059.4694328704,,Cant Decide
2,570301083672813000,neutral,Virgin America,yvonnalynn,@VirginAmerica I didn't today... Must mean I need to take another trip!,,42059.4693055556,Lets Play,bad_flight
3,570301031407624000,negative,Virgin America,jnardino,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",,42059.4691666667,,damage_luggage
4,570300817074462000,negative,Virgin America,jnardino,@VirginAmerica and it's a really big bad thing about it,,42059.4685763889,,customer_service_issue
5,570300767074181000,negative,Virgin America,jnardino,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",,42059.4684375,,late_flight
6,570300616901320000,positive,Virgin America,cjmcginnis,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",,42059.4680208333,San Francisco CA,Cant Decide
7,570300248553349000,neutral,Virgin America,pilot,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",,42059.4670023148,Los Angeles,bad_flight
8,570299953286942000,positive,Virgin America,dhepburn,"@virginamerica Well, I didn't…but NOW I DO! :-D",,42059.4661921296,San Diego,Cant Decide
9,570295459631263000,positive,Virgin America,YupitsTate,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",,42059.4537847222,Los Angeles,Cant Decide
10,570294189143031000,neutral,Virgin America,idk_but_youtube,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,,42059.450277777796,1/1 loner squad,damage_luggage
11,570289724453216000,positive,Virgin America,HyperCamiLax,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,,42059.437962963,NYC,Cant Decide
12,570289584061480000,positive,Virgin America,HyperCamiLax,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,,42059.4375694444,NYC,Cant Decide
13,570287408438120000,positive,Virgin America,mollanderson,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,,42059.4315740741,,Cant Decide
14,570285904809598000,positive,Virgin America,sjespers,@VirginAmerica Thanks!,,42059.4274189815,"San Francisco, CA",Cant Decide
15,570282469121007000,negative,Virgin America,smartwatermelon,=@VirginAmerica SFO-PDX schedule is still MIA.,,42059.4179398148,"palo alto, ca",cancel_flight
